,original,predicated
0,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
1,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
2,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
3,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
4,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
5,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
6,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
7,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
8,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
9,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
10,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
11,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
12,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
13,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.000000e+00 1.784619e-29]
14,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
15,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.7036136e-10]
16,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
17,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
18,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
19,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
20,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
21,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
22,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
23,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
24,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
25,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
26,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
27,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
28,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
29,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
30,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
31,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
32,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.7213886e-33]
33,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
34,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
35,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
36,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
37,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
38,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
39,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
40,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
41,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.7986138e-05 9.9996197e-01]
42,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
43,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
44,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.175781e-25 1.000000e+00]
45,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
46,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 2.7016595e-37]
47,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
48,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
49,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
50,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.99876404 0.00123603]
51,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
52,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.079197e-36 1.000000e+00]
53,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
54,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
55,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
56,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
57,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
58,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
59,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
60,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
61,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
62,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
63,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
64,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.000000e+00 8.322821e-19]
65,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
66,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
67,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
68,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
69,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
70,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
71,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
72,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
73,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
74,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
75,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
76,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
77,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
78,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
79,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9997222e-01 2.7769996e-05]
80,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
81,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.000000e+00 6.701615e-13]
82,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
83,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
84,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
85,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
86,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
87,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
88,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
89,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
90,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
91,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
92,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
93,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
