,original,predicated
0,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 3.6393356e-08]
1,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.296717e-27 1.000000e+00]
2,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.00000000e+00 1.09090665e-08]
3,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.2057834e-30 1.0000000e+00]
4,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.1048e-23 1.0000e+00]
5,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.0582025e-32 1.0000000e+00]
6,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.7275111e-20 1.0000000e+00]
7,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.83019e-31 1.00000e+00]
8,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
9,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.7101094e-10 1.0000000e+00]
10,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9999607e-01 3.8766429e-06]
11,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2307829e-35 1.0000000e+00]
12,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.09811165e-33 1.00000000e+00]
13,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[9.9999464e-01 5.3580670e-06]
14,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.5740584e-13 1.0000000e+00]
15,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.6169813e-04 9.9963832e-01]
16,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.7595358e-19 1.0000000e+00]
17,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.0148995e-12 1.0000000e+00]
18,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.475003e-20 1.000000e+00]
19,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.1076574e-12 1.0000000e+00]
20,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[6.0489442e-04 9.9939513e-01]
21,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.6231127e-20 1.0000000e+00]
22,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.5060565e-30 1.0000000e+00]
23,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.9069658e-06 9.9999714e-01]
24,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.002853e-18 1.000000e+00]
25,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9999988e-01 1.0545599e-07]
26,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.06391959 0.93608046]
27,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
28,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.1047053e-05 9.9998891e-01]
29,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.4509919e-21 1.0000000e+00]
30,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.7965332e-04 9.9982041e-01]
31,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9977940e-01 2.2060446e-04]
32,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.8515689e-08 1.0000000e+00]
33,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9953365e-01 4.6638882e-04]
34,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[8.3396408e-05 9.9991655e-01]
35,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.1280805e-14 1.0000000e+00]
36,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.0810983e-20 1.0000000e+00]
37,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.140433e-08 9.999999e-01]
38,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[5.4236027e-10 1.0000000e+00]
39,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2542602e-25 1.0000000e+00]
40,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.999906e-01 9.392620e-06]
41,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[8.0898066e-11 1.0000000e+00]
42,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.2932811e-16 1.0000000e+00]
43,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.4095232e-07 9.9999976e-01]
44,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0226714e-09 1.0000000e+00]
45,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.521224e-28 1.000000e+00]
46,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.16245314 0.8375469 ]
47,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.8198924e-27 1.0000000e+00]
48,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 4.8219988e-08]
49,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
50,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.0845305e-08 9.9999988e-01]
51,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
52,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0136727e-06 9.9999893e-01]
53,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.2963945e-10 1.0000000e+00]
54,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.624683e-27 1.000000e+00]
55,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9999034e-01 9.6472304e-06]
56,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.1189097e-07 9.9999964e-01]
57,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.1332745e-22 1.0000000e+00]
58,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 3.5730363e-09]
59,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.2886995e-21 1.0000000e+00]
60,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.09631716 0.9036829 ]
61,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.3951256e-16 1.0000000e+00]
62,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[7.4292412e-09 1.0000000e+00]
63,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.2789496e-37 1.0000000e+00]
64,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9996924e-01 3.0708754e-05]
65,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.3508262e-15 1.0000000e+00]
66,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
67,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.8383095e-16 1.0000000e+00]
68,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9998605e-01 1.3989268e-05]
69,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.6379736e-25 1.0000000e+00]
70,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.1272607e-29 1.0000000e+00]
71,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.2104198e-20 1.0000000e+00]
72,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.776122e-19 1.000000e+00]
73,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.9061027e-17 1.0000000e+00]
74,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.4498803e-26 1.0000000e+00]
75,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.1750059e-34 1.0000000e+00]
76,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.1000164e-10 1.0000000e+00]
77,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.99687225 0.00312776]
78,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.4999398e-32 1.0000000e+00]
79,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.46362928 0.5363707 ]
80,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.3957537e-12 1.0000000e+00]
81,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.9779422e-05 9.9998021e-01]
82,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.1685986e-17 1.0000000e+00]
83,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.6310326e-25 1.0000000e+00]
84,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.36306354 0.6369364 ]
85,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.4077877e-14 1.0000000e+00]
86,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.181625e-27 1.000000e+00]
87,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.2123878e-16 1.0000000e+00]
88,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.0011695e-24 1.0000000e+00]
89,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[8.4918726e-17 1.0000000e+00]
90,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9987113e-01 1.2889130e-04]
91,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.0128331e-22 1.0000000e+00]
92,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.4168456e-16 1.0000000e+00]
93,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.733069e-22 1.000000e+00]
94,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.6798589e-10 1.0000000e+00]
95,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.5160467e-17 1.0000000e+00]
96,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9969625e-01 3.0372589e-04]
97,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.5016593e-26 1.0000000e+00]
98,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.0510185e-21 1.0000000e+00]
99,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.5740584e-13 1.0000000e+00]
100,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.7402705e-30 1.0000000e+00]
101,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.575029e-32 1.000000e+00]
